PolicyID,ClientID,PolicyType,StartDate,EndDate,Premium,CoverageAmount
2001,1123,Auto,2019-02-26,2020-09-29,3079.16,86709.35
2002,1141,Auto,2020-09-30,2023-02-14,491.6,13843.49
2003,1119,Home,2022-07-05,2027-07-03,657.12,18504.54
2004,1150,Home,2021-01-24,2025-03-08,5466.69,153942.34
2005,1118,Health,2022-08-29,2025-03-12,1093.7,30798.66
2006,1021,Health,2020-03-02,2024-08-13,3334.8,93908.18
2007,1137,Health,2019-10-25,2021-04-02,2643.24,74433.81
2008,1026,Home,2021-05-01,2023-09-27,2279.86,64201.01
2009,1009,Home,2022-12-21,2026-03-04,5429.05,152882.4
2010,1015,Life,2022-06-17,2025-01-18,424.39,11950.85
2011,1010,Health,2018-01-03,2020-01-03,4083.6,114994.44
2012,1122,Health,2021-07-12,2026-02-04,5791.35,163084.79
2013,1121,Health,2020-12-05,2022-11-04,3492.96,98361.98
2014,1125,Auto,2018-10-31,2022-10-09,5639.89,158819.67
2015,1170,Life,2020-12-05,2022-04-03,597.87,16836.06
2016,1072,Health,2021-06-26,2025-03-27,2687.12,75669.47
2017,1152,Health,2020-05-11,2023-10-31,1782.9,50206.58
2018,1049,Health,2023-05-16,2026-12-04,4465.68,125753.84
2019,1154,Auto,2020-12-19,2025-05-31,5893.39,165958.24
2020,1091,Auto,2022-07-17,2026-09-11,1762.22,49624.23
2021,1037,Home,2019-07-28,2022-05-20,4028.8,113451.27
2022,1068,Life,2021-10-26,2023-08-05,1429.16,40245.24
2023,1050,Home,2021-03-31,2025-01-01,3522.38,99190.45
2024,1152,Life,2020-10-01,2023-06-16,2944.42,82915.06
2025,1019,Auto,2023-05-16,2024-12-16,5840.43,164466.89
2026,1100,Health,2019-04-28,2022-08-26,3768.61,106124.3
2027,1060,Home,2020-07-02,2022-09-13,2292.19,64548.22
2028,1167,Health,2021-12-18,2025-04-17,950.35,26761.92
2029,1089,Home,2023-04-29,2027-02-13,1162.11,32725.09
2030,1146,Auto,2022-11-24,2027-08-20,1584.31,44614.27
2031,1147,Auto,2018-01-31,2021-11-22,1730.51,48731.27
2032,1164,Auto,2020-03-01,2024-08-27,5148.51,144982.38
2033,1183,Home,2019-12-05,2023-07-18,3498.97,98531.22
2034,1069,Life,2022-01-23,2024-12-22,3283.33,92458.79
2035,1175,Home,2023-04-07,2025-03-26,954.18,26869.77
2036,1049,Life,2020-03-26,2024-03-22,5202.8,146511.19
2037,1108,Home,2019-02-11,2021-05-30,4420.04,124468.61
2038,1161,Home,2020-08-05,2023-10-26,685.71,19309.64
2039,1119,Auto,2018-07-12,2023-03-15,4334.66,122064.31
2040,1149,Health,2019-09-17,2023-12-28,3398.17,95692.69
2041,1150,Health,2022-06-20,2023-06-26,765.83,21565.82
2042,1176,Life,2021-11-20,2026-04-06,2912.31,82010.84
2043,1037,Health,2018-08-30,2022-10-25,3062.77,86247.8
2044,1143,Home,2018-06-06,2020-07-18,1244.91,35056.75
2045,1163,Home,2018-04-08,2022-12-23,5690.48,160244.29
2046,1199,Auto,2019-12-16,2022-10-09,5144.86,144879.59
2047,1160,Auto,2019-09-17,2021-09-21,4113.43,115834.46
2048,1011,Health,2020-07-19,2023-01-28,2935.08,82652.04
2049,1138,Life,2020-04-10,2022-05-06,2647.06,74541.38
2050,1078,Health,2022-08-13,2026-10-04,4010.55,112937.35
2051,1077,Health,2021-05-08,2024-07-21,3408.96,95996.53
2052,1185,Health,2020-09-13,2023-02-16,654.96,18443.72
2053,1153,Health,2022-09-28,2024-03-06,3221.27,90711.17
2054,1002,Home,2020-06-05,2022-07-05,4896.5,137885.76
2055,1064,Life,2018-11-16,2022-11-14,2917.67,82161.78
2056,1035,Home,2019-09-24,2021-10-28,596.15,16787.62
